cores,exectime
40,1755983
32,1694654
36,1680926
40,1673391
4,2473434
12,1992060
24,1726563
8,2005139
28,1712724
12,2005498
36,1684507
16,1875534
20,1785772
32,1685992
28,1705102
1,7845552
8,2026043
20,1773321
1,7837061
24,1758975
4,2343463
16,1875206
32,1687988
8,2015481
1,7995080
36,1680104
8,2025642
36,1687708
24,1730499
20,1801273
32,1690427
28,1711577
24,1726372
40,1666980
4,2366612
28,1708401
40,1657897
12,2093049
20,1821761
12,2007518
16,1866679
16,1867411
4,2335911
1,7850968
28,1701722
1,7890010
36,1694302
16,1885106
20,1779038
36,1700159
28,1705674
20,1771028
16,1878626
24,1729998
8,2032894
12,2005632
1,7824121
4,2343563
40,1666166
32,1694604
4,2327709
12,2000425
8,2143792
24,1722447
40,1659847
32,1697275
1,7910615
28,1721203
24,1726593
28,1708262
12,2009037
12,2083293
40,1701781
32,1684819
40,1678868
4,2376381
16,1878436
32,1698989
16,1869483
20,1777044
20,1779395
8,2029441
8,2015379
24,1731106
1,7845358
36,1689100
4,2429525
36,1672613
12,2017134
1,8025474
4,2357072
12,1998401
28,1708991
36,1674655
24,1732750
4,2333274
40,1673846
32,1699440
32,1699881
8,2070174
16,1873933
40,1684113
20,1767260
28,1714032
8,2012948
20,1771080
16,1881852
1,7871373
36,1690336
24,1722941
