cores,exectime
40,2189075
32,2192771
36,2188703
40,2171270
4,2809852
12,2646246
24,2267076
8,2769356
28,2237653
12,2644811
36,2180868
16,2391385
20,2338087
32,2207089
28,2239198
1,6116202
8,2765327
20,2339665
1,6103930
24,2292838
4,2805390
16,2410776
32,2198714
8,2758492
1,6406851
36,2191173
8,2752446
36,2175011
24,2270908
20,2340764
32,2196787
28,2240006
24,2288422
40,2167945
4,2782485
28,2237018
40,2169495
12,2660796
20,2336813
12,2637285
16,2397530
16,2391508
4,2787491
1,6497783
28,2269571
1,6035093
36,2173011
16,2410104
20,2358584
36,2177758
28,2276061
20,2362004
16,2400206
24,2286689
8,2802154
12,2635586
1,6346273
4,2785140
40,2173553
32,2203736
4,2798215
12,2660071
8,2775319
24,2282515
40,2175898
32,2197914
1,6063458
28,2232122
24,2285888
28,2228463
12,2735846
12,2650392
40,2156860
32,2210160
40,2153369
4,2785433
16,2405131
32,2211702
16,2386924
20,2335214
20,2327651
8,2764743
8,2801328
24,2267377
1,6061079
36,2172509
4,2817299
36,2159445
12,2646940
1,6054124
4,2798776
12,2666137
28,2223005
36,2174860
24,2265868
4,2804876
40,2159351
32,2190258
32,2185109
8,2778005
16,2402030
40,2151544
20,2343632
28,2235991
8,2774276
20,2334345
16,2381402
1,6022953
36,2193374
24,2279361
