"","Name","Width","Height","Unmasked_Pixels","MeanGcc"
"1","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_001_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331983919043203
"2","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_002_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331789573426784
"3","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_003_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.330952051591137
"4","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_004_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331184883151269
"5","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_005_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.327246723513047
"6","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_006_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331567525011344
"7","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_007_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331935116317013
"8","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_008_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331320344486421
"9","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_009_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331472412172615
"10","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_010_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332862968892837
"11","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_011_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334468033231592
"12","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_012_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332123678106825
"13","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_013_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333453616656993
"14","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_019_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333417565840767
"15","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_020_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33332843271177
"16","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_021_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333379610244757
"17","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_022_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332520772281165
"18","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_023_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.330115478142632
"19","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_024_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.329848620817324
"20","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_025_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33143383869793
"21","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_026_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332948714043296
"22","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_027_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333132668233118
"23","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_028_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332667283103167
"24","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_029_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332503662539172
"25","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_030_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332809170199935
"26","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_031_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333547336430405
"27","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_032_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333663669238433
"28","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_033_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332822580378169
"29","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_034_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332050571803747
"30","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_035_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.329103651888494
"31","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_036_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332454095717414
"32","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_037_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332701299784409
"33","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_038_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332061701513798
"34","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_039_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.328937347061295
"35","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_040_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.330236661502288
"36","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_041_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.329566455115226
"37","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_042_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33038320299001
"38","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_043_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.330771908714511
"39","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_044_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33318886224811
"40","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_045_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33368722824627
"41","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_046_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334522208839755
"42","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_047_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332898403822686
"43","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_048_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333223361489218
"44","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_049_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.3333114588252
"45","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_050_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334524085949159
"46","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_051_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332809488363939
"47","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_052_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333941355112211
"48","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_053_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334233689054973
