"","Name","Width","Height","Unmasked_Pixels","MeanRcc"
"1","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_001_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.321365596394933
"2","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_002_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.316636565899803
"3","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_003_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.308204277816875
"4","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_004_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.306920921065568
"5","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_005_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.299518852297869
"6","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_006_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.314519395676602
"7","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_007_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.315742504389977
"8","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_008_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.312034815721059
"9","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_009_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.319983928957679
"10","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_010_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.318306733219991
"11","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_011_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.32346181177314
"12","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_012_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.317717647677983
"13","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_013_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.321833248279183
"14","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_019_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.328589820649817
"15","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_020_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.329985100351953
"16","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_021_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.324127819011928
"17","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_022_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.324582866390715
"18","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_023_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.306914173395528
"19","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_024_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.309347675882977
"20","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_025_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.320010335447022
"21","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_026_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.317297416522514
"22","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_027_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.318356051023335
"23","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_028_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.317602855459882
"24","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_029_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.325183959564386
"25","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_030_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.323226975695048
"26","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_031_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.313570800296411
"27","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_032_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.322287057301222
"28","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_033_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.317484903911393
"29","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_034_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.308471011856156
"30","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_035_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.309047193074664
"31","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_036_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.316215697958484
"32","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_037_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.320795213063969
"33","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_038_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.312491179956595
"34","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_039_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.299843179187452
"35","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_040_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.309710942327627
"36","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_041_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.309667605295892
"37","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_042_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.312589385578751
"38","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_043_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.314282559296145
"39","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_044_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.324226826065876
"40","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_045_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.322604543725948
"41","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_046_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.329799654507384
"42","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_047_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.305345194844841
"43","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_048_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.322147082248317
"44","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_049_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.325693539866951
"45","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_050_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.329875168921891
"46","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_051_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.31407682656858
"47","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_052_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.328105995977341
"48","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_053_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.328423581207833
"49","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_054_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.313865143645611
"50","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_055_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.330679404166716
"51","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_056_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.328945775840373
"52","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_057_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.324155346540937
"53","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_058_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.315701630546158
"54","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_059_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.326883546005491
"55","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_060_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.318324409117908
"56","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_061_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.320610345085678
"57","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_062_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.310480316703496
"58","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_063_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.321276528839782
"59","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_064_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.321684927201341
