cores,exectime
40,671171
32,649947
36,694033
40,656422
4,893401
12,733884
24,651038
8,729837
28,654304
12,729539
36,664229
16,696407
20,653561
32,655142
28,654255
1,3147469
8,728914
20,655559
1,3057661
24,651356
4,900496
16,697627
32,687122
8,738795
1,3058187
36,688426
8,759716
36,689105
24,668652
20,658750
32,663610
28,679181
24,651442
40,658401
4,889256
28,654249
40,697912
12,765940
20,655761
12,736162
16,701114
16,699846
4,887304
1,3061614
28,659700
1,3055530
36,704539
16,701284
20,662470
36,663746
28,650087
20,657202
16,694915
24,652527
8,738493
12,733402
1,3054642
4,949768
40,726637
32,655384
4,888458
12,735090
8,737300
24,650108
40,690534
32,665427
1,3078042
28,655607
24,651867
28,653981
12,743835
12,739281
40,689434
32,653042
40,691053
4,922448
16,699290
32,652922
16,697698
20,659686
20,655934
8,738714
8,737026
24,652650
1,3062532
36,654253
4,905122
36,698285
12,735403
1,3051412
4,912832
12,734294
28,661037
36,656828
24,649690
4,895554
40,686534
32,670680
32,656676
8,743284
16,696347
40,723440
20,656829
28,654598
8,726993
20,655916
16,695400
1,3055991
36,697270
24,650496
